기업,공고,연봉,모집기간,링크
주식회사 퍼스트알앤디,웹기반 SW개발자,"연봉 3,500만원 이상",2024.05.06 ,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K170052403070081&rtnUrl=/empInfo/empInfoSrch/list/dtlEmpSrchList.do
주식회사쉐어밸류,웹 / 모바일 여행 서비스 기획 채용,월급 250만원 이상,2024.04.30 ,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K120122403150011&rtnUrl=/empInfo/empInfoSrch/list/dtlEmpSrchList.do
주식회사포밸류소프트,프로그램개발자 사원 및 경력사원 모집(정규직),"연봉 3,000만원 이상",2024.05.31 ,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K120032404090083&rtnUrl=/empInfo/empInfoSrch/list/dtlEmpSrchList.do
(주)아이시스테크놀러지,응용소프트웨어 개발/운영 초급기술자 정규직 채용,"연봉 2,800만원 ~3,600만원",2024.05.31 ,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K120422404090034&rtnUrl=/empInfo/empInfoSrch/list/dtlEmpSrchList.do
(주)케이디텍,[영등포구] (주)케이디텍 디자이너 모집,월급 210만원 ~210만원,2024.06.07 ,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K120422404080033&rtnUrl=/empInfo/empInfoSrch/list/dtlEmpSrchList.do
주식회사미새하우스,컨텐츠 기획 및 제작 디자인 담당,"연봉 2,500만원 ~3,500만원",2024.06.04 ,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K120412404050021&rtnUrl=/empInfo/empInfoSrch/list/dtlEmpSrchList.do
탑디자인,디자이너 모집,월급 220만원 ~300만원,2024.06.02 ,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K152342404030001&rtnUrl=/empInfo/empInfoSrch/list/dtlEmpSrchList.do
(주)두풍회계직업전문학교,SNS 강사 모집,"시급 25,000원 ~35,000원",2024.05.24 ,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K141112403250015&rtnUrl=/empInfo/empInfoSrch/list/dtlEmpSrchList.do
주식회사신애드,현수막디자이너 모집(정규직),월급 250만원 ~250만원,2024.04.30 ,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K150112403180045&rtnUrl=/empInfo/empInfoSrch/list/dtlEmpSrchList.do
(주)드제이,(주)드제이 사무실 청소원 모집(장애인 병행 채용),"시급 9,860원 이상",2024.05.13 ,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K120312403140015&rtnUrl=/empInfo/empInfoSrch/list/dtlEmpSrchList.do
쿠팡주식회사,"[장애인만 채용, 재택근무] 쿠팡 리터쳐 직원 채용",월급 210만원 ~210만원,2024.04.30 ,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=Dd02022403060011&rtnUrl=/empInfo/empInfoSrch/list/dtlEmpSrchList.do
주식회사 픽셀로,UI/UX  개발자,"연봉 3,000만원 ~4,000만원",2024.04.18 ,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K151632402260063&rtnUrl=/empInfo/empInfoSrch/list/dtlEmpSrchList.do
